ai_tool,capability_category,capability_name,supported,details,config_location,doc_url,last_verified
claude-code,hooks,hook_agent_handler,yes,Spawn subagent for verification,hooks in settings.json,https://code.claude.com/docs/en/hooks,2026-03-27
claude-code,mcp,mcp_stdio,yes,Stdio transport for MCP servers,.mcp.json or ~/.claude.json,https://code.claude.com/docs/en/mcp,2026-03-27
claude-code,mcp,mcp_http,yes,HTTP transport (recommended),.mcp.json or ~/.claude.json,https://code.claude.com/docs/en/mcp,2026-03-27
claude-code,mcp,mcp_sse,deprecated,SSE transport (deprecated in favor of HTTP),.mcp.json or ~/.claude.json,https://code.claude.com/docs/en/mcp,2026-03-27
claude-code,mcp,mcp_elicitation,yes,MCP servers can request structured user input,,https://code.claude.com/docs/en/mcp,2026-03-27
claude-code,mcp,mcp_channels,partial,MCP servers can push messages (research preview),,https://code.claude.com/docs/en/mcp,2026-03-27
claude-code,extensions,plugin_system,yes,Git-hosted plugin packages,.claude-plugin/plugin.json,https://code.claude.com/docs/en/plugins,2026-03-27
claude-code,extensions,skills,yes,SKILL.md with YAML frontmatter,.claude/skills/*/SKILL.md,https://code.claude.com/docs/en/plugins,2026-03-27
claude-code,extensions,commands,yes,Legacy command system (same as skills),.claude/commands/*.md,https://code.claude.com/docs/en/plugins,2026-03-27
claude-code,memory,auto_memory,yes,Automatic project memory with topic files,~/.claude/projects/<project>/memory/,https://code.claude.com/docs/en/memory,2026-03-27
claude-code,memory,memory_management,yes,Browse/edit/delete memory via /memory command,,https://code.claude.com/docs/en/memory,2026-03-27
claude-code,permissions,permission_modes,yes,"6 modes: default, acceptEdits, plan, auto, dontAsk, bypassPermissions",permissions.defaultMode,https://code.claude.com/docs/en/permissions,2026-03-27
claude-code,permissions,sandbox,yes,OS-level sandboxing (Seatbelt/bubblewrap),sandbox.enabled,https://code.claude.com/docs/en/security,2026-03-27
claude-code,permissions,allow_deny_rules,yes,Tool-level permission patterns,permissions.allow/deny,https://code.claude.com/docs/en/permissions,2026-03-27
claude-code,settings,settings_hierarchy,yes,"Managed → Enterprise → User → Project → Local",settings.json at each scope,https://code.claude.com/docs/en/settings,2026-03-27
claude-code,settings,env_vars,yes,100+ environment variables for configuration,,https://code.claude.com/docs/en/settings,2026-03-27
claude-code,ide,vscode,yes,Extension anthropic.claude-code with IDE MCP server,,https://code.claude.com/docs/en/ide-integrations,2026-03-27
claude-code,ide,jetbrains,yes,JetBrains extension,,https://code.claude.com/docs/en/ide-integrations,2026-03-27
claude-code,cli,output_formats,yes,"text, json, stream-json",--output-format flag,https://code.claude.com/docs/en/cli-reference,2026-03-27
claude-code,cli,structured_output,yes,JSON schema validation for output,--json-schema flag,https://code.claude.com/docs/en/cli-reference,2026-03-27
claude-code,cli,bare_mode,yes,Lightweight mode skipping hooks/plugins/MCP,--bare flag,https://code.claude.com/docs/en/cli-reference,2026-03-27
claude-desktop,core,interactive_chat,yes,Electron desktop chat app,,https://support.anthropic.com,2026-03-27
claude-desktop,core,batch_mode,no,No CLI or batch mode,,https://support.anthropic.com,2026-03-27
claude-desktop,mcp,mcp_stdio,yes,Stdio MCP servers,claude_desktop_config.json,https://support.anthropic.com,2026-03-27
claude-desktop,mcp,mcp_http,yes,HTTP/SSE MCP servers,claude_desktop_config.json,https://support.anthropic.com,2026-03-27
claude-desktop,hooks,hook_system,no,No hook system,,,2026-03-27
claude-desktop,agents,subagents,no,No subagent support,,,2026-03-27
claude-desktop,memory,auto_memory,no,Server-side memory only,,,2026-03-27
claude-desktop,permissions,sandbox,no,No sandboxing,,,2026-03-27
claude-desktop,extensions,plugin_system,no,No plugin system,,,2026-03-27
