path,ai_tool,vendor,host,platform,hidden,scope,category,sent_to_llm,approx_tokens,read_write,survives_compaction,cacheable,loaded_when,path_args,description,resolution,root_strategy
%USERPROFILE%\.claude\ide\,claude-code,anthropic,"cli,vscode",windows,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,IDE integration state,literal,cwd
%USERPROFILE%\.claude\session-env\,claude-code,anthropic,"cli,vscode",windows,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,Session environment snapshots,literal,cwd
%USERPROFILE%\.claude\keybindings.json,claude-code,anthropic,"cli,vscode",windows,no,global,config,no,0,rw,n/a,n/a,session-start,,Custom keyboard shortcuts,literal,cwd
%USERPROFILE%\.claude\stats-cache.json,claude-code,anthropic,"cli,vscode",windows,yes,global,cache,no,0,rw,n/a,n/a,runtime,,Cached usage statistics,literal,cwd
%USERPROFILE%\.claude\rules\*.md,claude-code,anthropic,"cli,vscode",windows,no,global,rules,conditional,50-500,rw,yes,yes,on-file-match,,User-level rules files (all projects),literal,cwd
%USERPROFILE%\.claude\agents\*.md,claude-code,anthropic,"cli,vscode",windows,no,global,agent,yes,200-500,rw,yes,yes,every-call,,User-level custom agent definitions,literal,cwd
%USERPROFILE%\.claude\file-history\,claude-code,anthropic,"cli,vscode",windows,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,File change history (UUID subdirs),literal,cwd
%USERPROFILE%\.claude\image-cache\,claude-code,anthropic,"cli,vscode",windows,yes,global,cache,no,0,rw,n/a,n/a,runtime,,Cached images from sessions,literal,cwd
%USERPROFILE%\.claude\debug\,claude-code,anthropic,"cli,vscode",windows,yes,global,logs,no,0,write,n/a,n/a,runtime,,Debug log files (UUID-named),literal,cwd
%USERPROFILE%\.claude\todos\,claude-code,anthropic,"cli,vscode",windows,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,Agent todo JSON files,literal,cwd
%USERPROFILE%\.claude\tasks\,claude-code,anthropic,"cli,vscode",windows,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,Structured task JSON files,literal,cwd
%USERPROFILE%\.claude\sessions\,claude-code,anthropic,"cli,vscode",windows,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,Session JSON files (keyed by port number),literal,cwd
%USERPROFILE%\.claude\paste-cache\,claude-code,anthropic,"cli,vscode",windows,yes,global,cache,no,0,rw,n/a,n/a,runtime,,Clipboard/paste history,literal,cwd
%USERPROFILE%\.claude\cache\,claude-code,anthropic,"cli,vscode",windows,yes,global,cache,no,0,rw,n/a,n/a,runtime,,General cache (changelog etc.),literal,cwd
%USERPROFILE%\.claude\backups\,claude-code,anthropic,"cli,vscode",windows,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,Timestamped .claude.json backups,literal,cwd
%USERPROFILE%\.claude\download\,claude-code,anthropic,"cli,vscode",windows,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,Downloads directory,literal,cwd
%USERPROFILE%\.claude\telemetry\,claude-code,anthropic,"cli,vscode",windows,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,Telemetry data,literal,cwd
%USERPROFILE%\.claude\plugins\install-counts-cache.json,claude-code,anthropic,"cli,vscode",windows,yes,global,cache,no,0,rw,n/a,n/a,runtime,,Plugin install count cache,literal,cwd
%USERPROFILE%\.claude\plugins\*\plugin.json,claude-code,anthropic,"cli,vscode",windows,yes,global,config,no,0,rw,n/a,n/a,session-start,,Plugin manifests,literal,cwd
%USERPROFILE%\.claude\plugins\blocklist.json,claude-code,anthropic,"cli,vscode",windows,yes,global,config,no,0,rw,n/a,n/a,session-start,,Plugin blocklist (disabled plugins),literal,cwd
%USERPROFILE%\.claude\plugins\known_marketplaces.json,claude-code,anthropic,"cli,vscode",windows,yes,global,config,no,0,rw,n/a,n/a,session-start,,Known plugin marketplace registry,literal,cwd
{project-root}/CLAUDE.md,claude-code,anthropic,"cli,vscode",all,no,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Project instructions (commit to git),recursive,cwd
{project-root}/CLAUDE.local.md,claude-code,anthropic,"cli,vscode",all,no,project,instructions,yes,100-1000,rw,yes,yes,every-call,,Personal project overrides (.gitignore'd),recursive,cwd
{parent}/CLAUDE.md,claude-code,anthropic,"cli,vscode",all,no,parent,instructions,yes,100-5000+,read,yes,yes,every-call,,Instructions from parent directories (traverses up to $HOME; monorepo support),parent,cwd
{parent}/CLAUDE.local.md,claude-code,anthropic,"cli,vscode",all,no,parent,instructions,yes,100-1000,read,yes,yes,every-call,,Local overrides from parent directories (traverses up to $HOME),parent,cwd
{project-root}/.claude/CLAUDE.md,claude-code,anthropic,"cli,vscode",all,yes,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Alternative project instructions location,recursive,cwd
{project-root}/.claude/settings.json,claude-code,anthropic,"cli,vscode",all,yes,project,config,no,0,rw,n/a,n/a,session-start,,"Project settings (shared, committed)",recursive,cwd
{project-root}/.claude/settings.local.json,claude-code,anthropic,"cli,vscode",all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Personal project settings (not committed),recursive,cwd
{project-root}/.claude/commands/{command}.md,claude-code,anthropic,"cli,vscode",all,yes,project,commands,on-demand,50-500,rw,n/a,n/a,on-invoke,{command},Project slash commands,recursive,cwd
{project-root}/.claude/skills/{skill}/SKILL.md,claude-code,anthropic,"cli,vscode",all,yes,project,skills,partial,50-100,rw,yes,yes,description-always;body-on-demand,{skill},Project skills,recursive,cwd
{project-root}/.claude/agents/{agent}.md,claude-code,anthropic,"cli,vscode",all,yes,project,agent,yes,200-500,rw,yes,yes,every-call,"{agent}=e.g. code-reviewer,security-auditor",Subagent persona definitions,recursive,cwd
{project-root}/.claude/rules/{rule}.md,claude-code,anthropic,"cli,vscode",all,yes,project,rules,conditional,50-500,rw,yes,yes,on-file-match,{rule},Modular instruction files (glob-matched),recursive,cwd
{project-root}/.claude/plans/*.md,claude-code,anthropic,"cli,vscode",all,yes,project,memory,on-demand,100-2000,rw,yes,yes,on-demand,,Project-local plan files (active implementation plans),recursive,cwd
{project-root}/.claude/hooks/*.sh,claude-code,anthropic,"cli,vscode",all,yes,project,hooks,no,0,rw,n/a,n/a,on-hook-trigger,,Project-local lifecycle hook scripts,recursive,cwd
{project-root}/.claude/hooks/hooks.json,claude-code,anthropic,"cli,vscode",all,yes,project,hooks,no,0,rw,n/a,n/a,session-start,,Declarative hook definitions,recursive,cwd
{project-root}/.claude/worktrees/,claude-code,anthropic,"cli,vscode",all,yes,project,runtime,no,0,rw,n/a,n/a,runtime,,Worktree management data,recursive,cwd
{project-root}/.mcp.json,claude-code,anthropic,"cli,vscode",all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Project-level MCP server configuration,recursive,cwd
{project-root}/.claudeignore,claude-code,anthropic,"cli,vscode",all,yes,project,ignore,no,0,read,n/a,n/a,session-start,,Files to exclude from Claude Code access (buggy enforcement),recursive,cwd
C:\Program Files\ClaudeCode\managed-settings.json,claude-code,anthropic,"cli,vscode",windows,no,global,config,no,0,read,n/a,n/a,session-start,,Managed/enterprise settings,literal,cwd
C:\Program Files\ClaudeCode\CLAUDE.md,claude-code,anthropic,"cli,vscode",windows,no,global,instructions,yes,100-2000,read,yes,yes,every-call,,Managed/enterprise instructions,literal,cwd
%TEMP%\claude\{project}\{session}\scratchpad\,claude-code,anthropic,"cli,vscode",windows,no,session,temp,no,0,rw,no,no,runtime,{project}=hash;{session}=uuid,Per-session scratchpad (Windows),shadow,cwd
tmpclaude-{hex}-cwd,claude-code,anthropic,"cli,vscode",all,no,session,temp,no,0,rw,no,no,per-bash-call,{hex}=4-char-hex,CWD tracking file (BUG: drops in project root),literal,cwd
{project-root}/tmp/attachments/,claude-code,anthropic,"cli,vscode",all,no,session,temp,no,0,write,no,no,session-start,,Attachment staging dir (BUG: created in project root),rooted,cwd
%APPDATA%\ChatGPT\,chatgpt-desktop,openai,desktop,windows,no,global,app-data,no,0,rw,n/a,n/a,app-start,,ChatGPT desktop app data,literal,none
~/.openai/.env,project-env,openai,any,all,yes,global,credentials,no,0,read,n/a,n/a,runtime,,OPENAI_API_KEY,literal,none
~/.openai/config.json,project-env,openai,any,all,yes,global,config,no,0,rw,n/a,n/a,runtime,,OpenAI API settings,literal,none
~/.codex/config.json,codex-cli,openai,cli,all,yes,global,config,no,0,rw,n/a,n/a,session-start,,Codex CLI configuration,literal,git-root
~/.codex/instructions.md,codex-cli,openai,cli,all,yes,global,instructions,yes,100-2000,rw,yes,yes,every-call,,Codex CLI custom instructions (now uses AGENTS.md),literal,git-root
%USERPROFILE%\.gemini\GEMINI.md,gemini-cli,google,cli,windows,no,global,instructions,yes,100-2000,rw,yes,yes,every-call,,Global context/instructions,literal,git-root
{project-root}/GEMINI.md,gemini-cli,google,cli,all,no,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Project-specific context (primary),recursive,git-root
{project-root}/.geminiignore,gemini-cli,google,cli,all,yes,project,ignore,no,0,read,n/a,n/a,session-start,,Project-level ignore patterns,recursive,git-root
{subdirectory}/GEMINI.md,gemini-cli,google,cli,all,no,project,instructions,yes,100-2000,rw,yes,yes,on-file-access,{subdirectory},Component-specific instructions (recursive),recursive,git-root
%USERPROFILE%\.copilot\config.json,copilot-cli,github,cli,windows,no,global,config,no,0,rw,n/a,n/a,session-start,,"Core CLI settings (model, theme, experimental flags)",literal,git-root
%USERPROFILE%\.copilot\mcp-config.json,copilot-cli,github,cli,windows,no,global,config,no,0,rw,n/a,n/a,session-start,,User-level MCP server configurations,literal,git-root
%USERPROFILE%\.copilot\copilot-instructions.md,copilot-cli,github,cli,windows,yes,global,instructions,yes,100-2000,rw,yes,yes,every-call,,Global user-level instructions,literal,git-root
%USERPROFILE%\.copilot\permissions-config.json,copilot-cli,github,cli,windows,no,global,config,no,0,rw,n/a,n/a,session-start,,"Allowed tools, paths, and URLs",literal,git-root
%USERPROFILE%\.copilot\command-history-state.json,copilot-cli,github,cli,windows,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,Command history,literal,git-root
%USERPROFILE%\.copilot\session-store.db,copilot-cli,github,cli,windows,yes,global,database,no,0,rw,n/a,n/a,runtime,,SQLite DB of all past sessions,literal,git-root
%USERPROFILE%\.copilot\ide\,copilot-cli,github,cli,windows,yes,global,runtime,no,0,rw,n/a,n/a,runtime,,IDE connection lock files,literal,git-root
%USERPROFILE%\.copilot\logs\,copilot-cli,github,cli,windows,yes,global,logs,no,0,write,n/a,n/a,runtime,,Process log files,literal,git-root
%USERPROFILE%\.copilot\pkg\,copilot-cli,github,cli,windows,yes,global,runtime,no,0,read,n/a,n/a,runtime,,Installed CLI versions and bundled binaries (ripgrep; sharp; SDK),literal,git-root
%USERPROFILE%\.copilot\hooks\,copilot-cli,github,cli,windows,yes,global,hooks,no,0,rw,n/a,n/a,on-hook-trigger,,Global lifecycle hooks,literal,git-root
%USERPROFILE%\.copilot\agents\{agent}.md,copilot-cli,github,cli,windows,yes,global,agent,yes,100-2000,rw,n/a,n/a,on-invoke,{agent},Custom agent definitions,literal,git-root
%USERPROFILE%\.copilot\session-state\{session}\events.jsonl,copilot-cli,github,cli,windows,yes,session,transcript,no,0,rw,n/a,n/a,runtime,{session}=uuid,Full conversation history (turns; tool calls; results),literal,git-root
%USERPROFILE%\.copilot\session-state\{session}\workspace.yaml,copilot-cli,github,cli,windows,yes,session,runtime,no,0,rw,n/a,n/a,runtime,{session}=uuid,Session metadata (cwd; branch; model),literal,git-root
%USERPROFILE%\.copilot\session-state\{session}\plan.md,copilot-cli,github,cli,windows,yes,session,runtime,no,0,rw,n/a,n/a,runtime,{session}=uuid,Implementation plan (if created),literal,git-root
%USERPROFILE%\.copilot\session-state\{session}\inuse.{pid}.lock,copilot-cli,github,cli,windows,yes,session,runtime,no,0,rw,n/a,n/a,runtime,{session}=uuid,Lock file showing which process owns this session,literal,git-root
%USERPROFILE%\.copilot\session-state\{session}\checkpoints\,copilot-cli,github,cli,windows,yes,session,runtime,no,0,rw,n/a,n/a,on-compaction,{session}=uuid,Checkpoint summaries for /resume,literal,git-root
%USERPROFILE%\.copilot\session-state\{session}\files\,copilot-cli,github,cli,windows,yes,session,temp,no,0,rw,n/a,n/a,runtime,{session}=uuid,Persistent artifacts (plan.md; context files),literal,git-root
%USERPROFILE%\.copilot\session-state\{session}\research\,copilot-cli,github,cli,windows,yes,session,temp,no,0,rw,n/a,n/a,runtime,{session}=uuid,Research report outputs,literal,git-root
%USERPROFILE%\.copilot\*,copilot-cli,github,cli,windows,no,global,runtime,no,0,rw,n/a,n/a,runtime,,Any file under .copilot/ (catch-all),literal,git-root
%APPDATA%\GitHub CLI\config.yml,copilot-cli,github,cli,windows,no,global,config,no,0,read,n/a,n/a,session-start,,GitHub CLI config,literal,git-root
$HOME/.copilot/copilot-instructions.md,copilot-cli,github,cli,all,yes,global,instructions,yes,100-2000,rw,yes,yes,every-call,,Global personal instructions (env var path),literal,git-root
%APPDATA%\GitHub CLI\hosts.yml,copilot-cli,github,cli,windows,no,global,credentials,no,0,read,n/a,n/a,session-start,,GitHub CLI auth tokens,literal,git-root
{project-root}/.github/copilot-instructions.md,copilot,github,"vscode,jetbrains,cli",all,yes,project,instructions,yes,100-5000,rw,yes,yes,every-call,,Repo-wide AI instructions,recursive,git-root
{project-root}/.github/instructions/*.instructions.md,copilot,github,"vscode,jetbrains,cli",all,yes,project,instructions,conditional,50-500,rw,yes,yes,on-file-match,applyTo glob in frontmatter,Path-specific instructions,recursive,git-root
{project-root}/.github/prompts/*.prompt.md,copilot,github,"vscode,jetbrains,cli",all,yes,project,commands,on-demand,100-1000,rw,n/a,n/a,on-invoke,,Reusable prompt templates,recursive,git-root
{project-root}/.github/git-commit-instructions.md,copilot,github,"vscode,jetbrains,cli",all,yes,project,instructions,conditional,50-300,rw,yes,yes,on-commit,,Commit message guidance,recursive,git-root
{project-root}/.github/hooks/*.json,copilot-cli,github,cli,all,yes,project,hooks,no,0,read,n/a,n/a,on-hook-trigger,,Lifecycle hook configurations,recursive,git-root
{project-root}/.github/lsp.json,copilot-cli,github,cli,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Repository-level LSP server configuration (Copilot CLI code intelligence),recursive,git-root
%USERPROFILE%\.copilot\lsp-config.json,copilot-cli,github,cli,windows,no,global,config,no,0,rw,n/a,n/a,session-start,,User-level LSP server configuration,literal,git-root
{project-root}/.github/copilot/settings.json,copilot-cli,github,cli,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Repo-level Copilot settings,recursive,git-root
{project-root}/.github/copilot/settings.local.json,copilot-cli,github,cli,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Personal repo overrides (not committed),recursive,git-root
{project-root}/.copilot/mcp-config.json,copilot-cli,github,cli,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Project-level MCP servers,recursive,git-root
{project-root}/AGENTS.md,copilot-cli,github,cli,all,no,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Cross-tool agent instructions (primary for Copilot CLI),recursive,git-root
%USERPROFILE%\copilot-instructions.md,copilot-vs,github,vscode,windows,no,global,instructions,yes,100-2000,rw,yes,yes,every-call,,VS user-level preferences (Windows),literal,workspace
%LOCALAPPDATA%\github-copilot\intellij\global-copilot-instructions.md,copilot-jetbrains,github,jetbrains,windows,no,global,instructions,yes,100-2000,rw,yes,yes,every-call,,JetBrains global instructions (Windows),literal,workspace
%APPDATA%\Cursor\User\globalStorage\state.vscdb,cursor,cursor-inc,standalone,windows,no,global,database,no,0,rw,n/a,n/a,app-start,,SQLite settings database (Windows),literal,workspace
%APPDATA%\Cursor\CachedData\{version}\,cursor,cursor-inc,standalone,windows,no,global,cache,no,0,rw,n/a,n/a,runtime,{version}=hash,Per-version cache (never auto-cleaned),literal,workspace
%USERPROFILE%\.cursor\extensions\,cursor,cursor-inc,standalone,windows,no,global,extensions,no,0,rw,n/a,n/a,app-start,,Extension installations (Windows),literal,workspace
{project-root}/.cursorrules,cursor,cursor-inc,standalone,all,yes,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Legacy project AI rules (injected into system prompt),recursive,workspace
{project-root}/.cursor/rules/*.md,cursor,cursor-inc,standalone,all,yes,project,rules,conditional,50-500,rw,yes,yes,on-file-match/always/mention,,Modern granular rule files (.md format),recursive,workspace
{project-root}/.cursor/rules/*.mdc,cursor,cursor-inc,standalone,all,yes,project,rules,conditional,50-500,rw,yes,yes,on-file-match/always/mention,,Legacy granular rule files (.mdc format — older Cursor versions),recursive,workspace
{project-root}/.cursorignore,cursor,cursor-inc,standalone,all,yes,project,ignore,no,0,read,n/a,n/a,session-start,,Files excluded from AI context/indexing,recursive,workspace
%USERPROFILE%\.codeium\windsurf\memories\global_rules.md,windsurf,codeium,standalone,windows,no,global,instructions,yes,100-2000,rw,yes,yes,every-call,,Global AI guidelines (Windows),literal,workspace
%USERPROFILE%\.codeium\windsurf\mcp_config.json,windsurf,codeium,standalone,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,MCP server configuration (Windows),literal,workspace
{project-root}/.windsurfrules,windsurf,codeium,standalone,all,yes,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Legacy project-wide AI rules,recursive,workspace
{project-root}/.windsurf/rules/*.md,windsurf,codeium,standalone,all,yes,project,rules,conditional,50-500,rw,yes,yes,on-match/always/mention,,Modern granular rules (Wave 8+),recursive,workspace
{project-root}/.codeiumignore,windsurf,codeium,standalone,all,yes,project,ignore,no,0,read,n/a,n/a,app-start,,Project-level file exclusions,recursive,workspace
{project-root}/cascade-memories/,windsurf,codeium,standalone,all,no,project,memory,partial,varies,rw,n/a,n/a,runtime,,"Cascade-generated memories (auto, in project root)",recursive,workspace
%USERPROFILE%\.openclaw\openclaw.json,openclaw,community,cli,windows,no,global,config,no,0,rw,n/a,n/a,gateway-start,,Main configuration (Windows),literal,cwd
{project-root}/openclaw.config.json,openclaw,community,cli,all,no,project,config,no,0,rw,n/a,n/a,gateway-start,,Project-specific config (merges with global),rooted,cwd
%USERPROFILE%\.claude.json,claude-code,anthropic,"cli,vscode",windows,no,global,config,no,0,rw,n/a,n/a,session-start,,User-scoped MCP servers and account config (Windows),literal,cwd
%USERPROFILE%\.claude.json.backup,claude-code,anthropic,"cli,vscode",windows,no,global,runtime,no,0,rw,n/a,n/a,runtime,,Backup of global state file,literal,cwd
%LOCALAPPDATA%\Claude\versions\,claude-code,anthropic,cli,windows,no,global,runtime,no,0,read,n/a,n/a,runtime,,Installed binary versions,literal,none
%USERPROFILE%\.vscode\extensions\anthropic.claude-code-*\,claude-code,anthropic,vscode,windows,no,global,extensions,no,0,read,n/a,n/a,app-start,,VS Code extension installation,literal,none
{project-root}/.lsp.json,claude-code,anthropic,"cli,vscode",all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Language server configuration (project-level),recursive,cwd
{project-root}/.github/agents/*.agent.md,copilot,github,"vscode,jetbrains,cli",all,yes,project,agent,on-demand,200-500,rw,n/a,n/a,on-delegation,,Custom agent definitions (repo-level; also available at org level),recursive,git-root
{project-root}/.github/skills/{skill}/SKILL.md,copilot-cli,github,cli,all,yes,project,skills,on-demand,50-500,rw,n/a,n/a,on-invoke,{skill},Copilot CLI skill definitions (project-level),recursive,git-root
{project-root}/.copilot-mcp.json,copilot-cli,github,cli,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Alternative project-level MCP config (alternative to .copilot/mcp-config.json),recursive,git-root
{project-root}/.vscode/settings.json,copilot-vscode,github,vscode,all,yes,project,config,no,0,rw,n/a,n/a,app-start,,VS Code workspace settings (all AI/Copilot/OTel settings live here),recursive,workspace
{project-root}/.vscode/extensions.json,copilot-vscode,github,vscode,all,yes,project,config,no,0,read,n/a,n/a,app-start,,Recommended extensions list (includes Copilot),recursive,workspace
{project-root}/.vscode/launch.json,copilot-vscode,github,vscode,all,yes,project,config,no,0,rw,n/a,n/a,app-start,,Debug launch configurations,recursive,workspace
{project-root}/.vscode/tasks.json,copilot-vscode,github,vscode,all,yes,project,config,no,0,rw,n/a,n/a,app-start,,Task runner definitions (build/test/lint),recursive,workspace
{project-root}/.devcontainer/devcontainer.json,copilot-vscode,github,vscode,all,yes,project,config,no,0,rw,n/a,n/a,app-start,,Dev Container config (can embed AI settings and Copilot extensions),recursive,workspace
%APPDATA%\Code\User\settings.json,copilot-vscode,github,vscode,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,VS Code global user settings (Copilot/OTel preferences),literal,workspace
%APPDATA%\Code\User\mcp.json,copilot-vscode,github,vscode,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,VS Code user-level MCP config (separate from .mcp.json),literal,workspace
%APPDATA%\Code\User\chatLanguageModels.json,copilot-vscode,github,vscode,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,Custom language model registrations,literal,workspace
