Key,Type,Unit,Update,Explanation,Source
budget.project_estimate,DEDUCED,tokens,on-discovery,"Estimated context window usage for the largest sub-project, plus global tokens. Shows realistic total when multiple projects exist.","compute_token_budget() groups files by project root, finds the largest sub-project by token sum, adds global (non-project) tokens. Fields: largest_project name, largest_project_tokens, global_tokens."
budget.daily_tokens,AGGREGATED *,tokens,on-collect,"Stacked bar chart showing daily token consumption over the last 7 consecutive days, broken down by AI model.","tool_telemetry table in DB, grouped by date and model. Each day's bar shows per-model segments (input + output + cache tokens). Color-coded by model."
budget.live_token_usage,AGGREGATED *,tokens,realtime,Sparkline chart of estimated token consumption from live sessions over time.,"Historical live_tokens values from metrics table, plotted as time series."
budget.token_by_category,AGGREGATED,tokens,on-discovery,"Table showing token distribution by file category (instructions, config, rules, memory, etc.) with visual distribution bars.","Files grouped by category from paths-*.csv. Per category: file count, token sum, size sum, and proportional distribution bar."
budget.token_by_tool,AGGREGATED *,tokens,on-collect,"Table showing token usage breakdown per AI tool: input, output, cache read, cache write, sessions, cost, and context split.",Latest tool_telemetry records per tool. Columns directly from telemetry parser output. Context split = visual bar showing token distribution within the tool's files.
events.feed,RAW *,count,realtime,"Chronological event log showing session starts/ends, file changes, configuration updates, anomalies, and hook events.","Events table in DB. Written by: - SessionCorrelator (session-start, session-end) - Filesystem watcher (file events) - Hook receiver (/api/hooks POST endpoint) - Anomaly detector (process anomalies) Each event has: timestamp, tool, kind, detail (JSON)."
events.tool.cpu_chart,RAW,percent,realtime,Time series of CPU utilization for a specific tool over the selected time range.,"Historical tool_metrics.cpu values from DB, queried for the selected tool and time range."
events.tool.memory_chart,RAW,bytes,realtime,Time series of memory usage for a specific tool over the selected time range.,"Historical tool_metrics.mem_mb values from DB, queried for the selected tool and time range."
events.tool.tokens_chart,RAW,tokens,realtime,Time series of token consumption for a specific tool over the selected time range.,Historical tool_metrics.tokens values from DB.
events.tool.traffic_chart,RAW,rate_bps,realtime,Time series of network traffic (bytes/sec) for a specific tool over the selected time range.,Historical tool_metrics.traffic values from DB.
events.tool.live.cpu_percent,AGGREGATED *,percent,realtime,CPU utilization for the selected tool in the Events & Stats tab.,Sum of cpu_percent across active sessions for this tool.
events.tool.live.inbound_rate_bps,DEDUCED *,rate_bps,realtime,Inbound network rate for the selected tool in the Events tab.,Computed via _recent_rate() from recent_network deque. Same as procs.tool.live.traffic inbound component.
events.tool.live.mem_mb,AGGREGATED *,bytes,realtime,Memory usage for the selected tool in the Events & Stats tab.,Sum of per-PID memory from ToolReport process list.
events.tool.live.outbound_rate_bps,DEDUCED *,rate_bps,realtime,Outbound network rate for the selected tool in the Events tab.,Computed via _recent_rate() from recent_network deque. Same as procs.tool.live.traffic outbound component.
events.tool.live.pid_count,AGGREGATED *,count,realtime,Process ID count for the selected tool in the Events & Stats tab.,Same data as procs.tool.live.pid_count — PID set cardinality from ToolReport.
events.tool.live.session_count,AGGREGATED *,count,realtime,"Active session count for the selected tool, shown in the Events & Stats tab live monitor section.",Same data as procs.tool.live.session_count — from ToolReport via SessionCorrelator. Displayed in the per-tool events view.
live.diagnostics.collector_name,RAW *,count,realtime,"Name of each data collector in the monitoring pipeline (e.g. process, network, discovery, filesystem, telemetry).","Keys from SessionCorrelator.diagnostics() dict. Each collector reports its status via on_collector_status(source, status, mode)."
live.diagnostics.mode,RAW *,count,realtime,"Operating mode of each collector (e.g. polling, watching, passive).",Direct assignment from the mode parameter in SessionCorrelator.on_collector_status().
live.diagnostics.status,RAW *,count,realtime,"Current status of each collector — active, degraded, disabled, or unknown.",Direct assignment from the status parameter in SessionCorrelator.on_collector_status(). Updated on each collector cycle.
live.monitor_roots,RAW *,count,realtime,Workspace and state directory paths being monitored by the live collector.,"Workspace roots from active session working directories. State paths from tool-specific state directory functions (e.g. claude_global_dir(), copilot_state_dir())."
live.tool.files,AGGREGATED *,count,realtime,Files touched and file events during the live session.,files_touched = count of unique file paths modified. file_events = total count of file system events observed. Both from SessionState accumulation.
live.tool.mcp,DEDUCED *,count,realtime,MCP loop detection result — whether tool-use loops were detected and estimated loop count.,"Heuristic detection from network bursts, CPU spikes, and subprocess activity patterns. See procs.tool.live.mcp_detected for algorithm."
live.tool.sessions,AGGREGATED *,count,realtime,Active session count and PID count for a tool in the live monitor.,From SessionCorrelator tool report: session_count (unique sessions) and pid_count (total process IDs across sessions).
live.tool.tokens,DEDUCED *,tokens,realtime,"Estimated tokens with source identification and confidence score. Shows which estimation method was used (exact, session-file, network).","Tiered token estimation — see overview.total_live_estimated_tokens. Source text identifies the method (e.g. ""stats-cache"", ""session-files"", ""network-infer""). Confidence percentage shown alongside."
live.tool.traffic,DEDUCED *,rate_bps,realtime,"Upload (outbound) and download (inbound) rates for a tool, formatted as bytes/second.",Rates computed from SessionCorrelator recent_network deque. Rate = bytes_delta / time_delta over 24-sample sliding window.
live.tool.workspace,RAW *,bytes,realtime,Working directories and disk size for the tool's active sessions.,Set of workspace paths from session root process cwd. Size is total file size across all files in tool.files.
mcp.server.cpu,RAW *,percent,realtime,CPU utilization of the MCP server process (if running).,psutil.Process.cpu_percent() for the matched MCP server PID.
mcp.server.mem,RAW *,bytes,realtime,Memory usage of the MCP server process (if running).,psutil.Process.memory_info().rss for the matched MCP server PID.
mcp.server.name,RAW,count,on-collect,Name identifier of the MCP server as defined in tool configuration.,"Parsed from tool MCP config files (mcpServers key in settings.json, .mcp.json, mcp_config.json, etc.)."
mcp.server.status,RAW *,count,realtime,Running status of the MCP server process. Shows PID if running.,"Process matching against MCP server command. For stdio transport, matches the command binary in running processes via psutil. Status is ""running"" (with PID) or ""configured"" (not running)."
mcp.server.tool,RAW,count,on-collect,"Which AI tool this MCP server belongs to (e.g. claude-code, cursor).",Derived from which tool's configuration file contains this server definition.
mcp.server.transport,RAW,count,on-collect,"Communication transport used by the MCP server (stdio, sse, http).","From MCP config: command presence → stdio, url with /sse → sse, url with /mcp → streamable-http, else http."
memory.growth_chart,AGGREGATED *,tokens,on-collect,Time series chart showing growth of agent memory tokens over time. Tracks how much persistent context AI tools accumulate.,"Historical mem_tokens values from the metrics table, plotted as a time series. Each point recorded on collection cycle."
memory.entry.activity,DEDUCED *,count,on-collect,"Activity status of a memory file — green (live active, recently changed), orange (modified within 5 minutes), grey (inactive).","Based on file mtime comparison: green if changed since last collection, orange if mtime within 300s, grey otherwise."
memory.entry.tokens,DEDUCED,tokens,on-collect,Estimated token count for a single memory/context file.,ceil(len(content.encode('utf-8')) / 4). The content is read from disk on each collection cycle.
memory.source_group,AGGREGATED *,tokens,on-collect,"Memory entries grouped by source (e.g. claude-user-memory, copilot-agent-memory). Shows file count and token count per source.",Agent memory files discovered by scanning known memory paths. Grouped by the source field from MemoryEntry (derived from path structure: ~/.claude/memory/ → claude-user-memory).
alerts.headless_browser,DEDUCED *,count,realtime,"Count of headless browser processes (Chrome, Chromium, Firefox) spawned by AI tools. These are resource-heavy and may indicate tool-use loops or web scraping.",Process matching against browser process name patterns in the process tree of AI tool sessions.
alerts.orphan_mcp,DEDUCED *,count,realtime,Count of MCP server processes whose parent process has died. These orphans consume resources but are no longer useful.,MCP server processes where the expected parent AI tool process is no longer running (ppid check fails or parent PID not in active session PIDs).
alerts.process_anomalies,AGGREGATED *,count,realtime,"Total count of process-level anomalies across all AI tools. Aggregates memory leaks, CPU spikes, zombie processes, and other unusual behavior.",Sum of anomaly counts from all tool process inspections. Each anomaly type has its own detection rule (see procs.tool.anomaly).
alerts.subagent_memory,DEDUCED *,bytes,realtime,Alert triggered when total memory consumption by AI tool subagent processes exceeds 2GB. Indicates potential memory leak or runaway agent.,Sum of psutil.Process.memory_info().rss for all processes classified as subagents or child processes. Threshold: 2 * 1024^3 bytes.
overview.collector_health.errors,AGGREGATED *,count,on-collect,"Count of tools with telemetry collection errors (parse failures, missing files, permission errors, timeout errors).",Accumulated from telemetry parser error lists. Each parser reports errors encountered while reading stats files or event logs.
overview.collector_health.live_tools,AGGREGATED *,count,realtime,Count of tools with active live monitoring (running sessions detected).,Count of tools where tool.live is not None/empty.
overview.collector_health.otel_api_calls,AGGREGATED *,count,realtime,Total count of API call events received via OpenTelemetry. These are gen_ai spans tracking individual LLM API requests.,"Counter in OtelStats incremented for events matching API_REQUEST_EVENTS frozenset (gen_ai.request, llm.call, etc.)."
overview.collector_health.otel_api_errors,AGGREGATED *,count,realtime,Total count of API error events received via OpenTelemetry.,"Counter in OtelStats incremented for events matching API_ERROR_EVENTS frozenset (gen_ai.error, llm.error, etc.)."
overview.collector_health.otel_events_received,AGGREGATED *,count,realtime,Total count of OTLP log/event data points received by the built-in OpenTelemetry receiver since startup.,Counter incremented in OtelStats on each POST to /v1/logs endpoint. Counts individual log records within OTLP JSON payloads.
overview.collector_health.otel_last_receive,RAW *,seconds,realtime,Time since the last OTLP payload was received. Shows data freshness.,"OtelStats timestamp set to time.time() on each successful parse of metrics or logs. Displayed as relative time (e.g. ""3s ago"")."
overview.collector_health.otel_metrics_received,RAW *,count,realtime,Total count of OTLP metric data points received by the built-in OpenTelemetry receiver since startup.,Counter incremented on each POST to /v1/metrics endpoint. Counts individual metric data points within OTLP JSON payloads.
overview.collector_health.otel_parse_errors,RAW *,count,realtime,Number of errors encountered while parsing incoming OTLP payloads.,"OtelStats.errors counter, incremented on JSON parse failures or schema validation errors in the /v1/metrics and /v1/logs handlers."
overview.collector_health.otel_status,RAW *,count,realtime,Whether the OpenTelemetry receiver is active and receiving metrics/logs.,Boolean from otel_receiver module. Active if any metrics or logs have been received via /v1/metrics or /v1/logs endpoints.
overview.collector_health.stale_tools,DEDUCED *,count,on-collect,Count of tools whose telemetry data is stale (last seen timestamp exceeds freshness threshold). Indicates potential collection failures.,Tools where (now - last_seen) > staleness threshold. Last_seen comes from the most recent telemetry or live sample timestamp.
overview.collector_health.tools_with_telemetry,AGGREGATED *,count,on-collect,Count of AI tools that have verified telemetry data (token usage from the tool's native stats) vs total tools discovered.,"Counts tools where tool_telemetry[].source is non-empty and confidence > 0. Format: ""N/M tools with telemetry""."
overview.collector_pipeline.detail,RAW *,count,realtime,"Additional detail text for each collector's status (e.g. sample count, error message, collection interval).",Free-text detail from collector status reporting via on_collector_status(detail=...).
overview.collector_pipeline.name,RAW *,count,realtime,Name identifier of each collector in the monitoring pipeline.,"From live_monitor.diagnostics dict keys. Each collector registers itself via on_collector_status(source=name, ...)."
overview.collector_pipeline.status,RAW *,count,realtime,"Health status of each collector — active (green), degraded (orange), disabled (grey), unknown.",Direct from collector status reporting. Color-coded by status value in the UI. Left border indicates health.
overview.context_map.by_category,AGGREGATED,tokens,on-discovery,"Token distribution broken down by file category (instructions, config, rules, memory, state, etc.). Shows which category of files contributes most to context window usage.",Files grouped by their 'category' field from paths-*.csv. Token count per category = sum of per-file estimates within the category.
overview.context_map.by_project,AGGREGATED,tokens,on-discovery,Token distribution broken down by project. Shows how context budget is split across different working directories/repositories.,Files grouped by resolved project root (git root or parent directory). Each project's tokens = sum of file estimates within that project scope.
overview.context_map.conditional,AGGREGATED,tokens,on-discovery,Tokens from files loaded conditionally (e.g. only in certain project types or when specific features are enabled).,"Files where sent_to_llm in (""conditional"", ""partial"") in paths-*.csv. Token count estimated per file, summed."
overview.context_map.not_sent,AGGREGATED,tokens,on-discovery,"Tokens from files that exist on disk but are never sent to the LLM. Configuration, state, and metadata files that the tool uses internally.","Files where sent_to_llm=""no"" in paths-*.csv. Token count estimated per file, summed."
overview.context_map.on_demand,AGGREGATED,tokens,on-discovery,Tokens from files loaded on-demand (only when referenced or needed). These don't consume context by default but contribute when activated.,"Files where sent_to_llm=""on-demand"" OR loaded_when=""on-demand"" in paths-*.csv. Token count estimated per file, summed."
overview.context_map.sent_to_llm,AGGREGATED,tokens,on-discovery,Tokens from files that are always sent to the LLM on every call. These consume context window capacity on every interaction and represent the baseline context load.,"Files where sent_to_llm=""yes"" AND loaded_when=""every-call"" in paths-*.csv. Token count estimated per file, summed."
overview.total_mcp_servers,AGGREGATED,count,on-collect,"Count of unique MCP (Model Context Protocol) servers configured across all AI tools. MCP servers extend tool capabilities with external data sources, APIs, and integrations.","Parsed from tool configuration files (settings.json for Claude Code, mcp.json, .cursor/mcp.json, etc.). If detailed MCP status collection is available, uses len(mcp_detail); otherwise counts unique server names across all tool.mcp_servers lists."
overview.total_memory_tokens,AGGREGATED,tokens,on-collect,"Total estimated tokens across all agent memory/context files. These are persistent memory entries that AI tools load into their context window (e.g. Claude's CLAUDE.md, user memory files, Copilot instructions).","Memory files are discovered by scanning known paths (e.g. ~/.claude/memory/, ~/.claude/projects/*/memory/). Each file's content is token-estimated via ceil(utf8_bytes / 4). Summed across all entries."
overview.total_processes,AGGREGATED,count,realtime,"Number of running OS processes attributed to AI tools. Includes IDE extensions, language servers, daemon processes, and CLI instances. Uses the higher of discovery count vs live PID count per tool.","Process discovery uses psutil.process_iter() and matches each process against ps_grep_pattern regexes from processes-*.csv. The count per tool is max(len(discovered_processes), live_pid_count_from_correlator). Summed across all tools."
overview.total_size,AGGREGATED,bytes,on-discovery,"Total disk space consumed by all discovered AI tool files, in bytes. Includes configuration, memory, instructions, rules, and state files.","os.stat().st_size for each discovered file, summed across all tools. Only files matching path patterns from paths-*.csv are included."
overview.cpu_per_core,RAW,percent,realtime,"Per-core CPU utilization for every logical CPU core on the system. Displayed as color-coded bars (red >80%, orange >50%, green >20%). Shows overall system load, not just AI tool processes.","psutil.cpu_percent(interval=0.1, percpu=True) returns a list of percentages, one per logical core. Called on every snapshot render."
overview.total_live_estimated_tokens,DEDUCED *,tokens,realtime,Estimated tokens consumed across all active sessions. Combines exact telemetry (when available) with inference from network traffic and state file writes.,"Token estimation uses a tiered approach: 1. Exact telemetry (confidence 0.95) — from tool's native stats (e.g. Claude stats-cache.json, Copilot events.jsonl) 2. Session file inference (confidence 0.60) — state_bytes_written * 0.6 / 4 for input, * 0.4 / 4 for output 3. Network inference (confidence 0.40) — network_bytes * 0.7 / 4 Sum of (input_tokens + output_tokens) across all active sessions."
overview.total_live_inbound_rate_bps,DEDUCED,rate_bps,realtime,"Aggregate inbound (download) network traffic rate across all active AI tool sessions, in bytes per second. Represents data received from AI APIs (completions, streaming responses).","Same computation as outbound rate but for receive direction. Computed from per-session recent_network deque, rate = delta_bytes / delta_time. Summed across all active tool sessions."
overview.total_live_outbound_rate_bps,DEDUCED,rate_bps,realtime,"Aggregate outbound (upload) network traffic rate across all active AI tool sessions, in bytes per second. Represents data being sent to AI APIs (prompts, code context, file contents).",Computed from per-session recent_network deque (last 24 samples). Rate = delta_bytes / delta_time over the sample window. Summed across all active tool sessions. Outbound = data sent to remote APIs.
overview.total_live_sessions,AGGREGATED *,count,realtime,"Number of currently active AI tool sessions. A session represents a continuous interaction with an AI tool (e.g. an open Claude Code conversation, an active Copilot coding session).",The SessionCorrelator creates a SessionState when a root-candidate process is first observed. Sessions are considered active if seen within the last 180 seconds. Count is summed from tool.live.session_count across all tools with live data.
overview.csv_footprint_bar,AGGREGATED,count,on-discovery,Stacked horizontal bar showing file count distribution per AI tool. Visualizes which tools have the largest on-disk configuration footprint.,"len(tool.files) for each tool, rendered proportionally in a stacked bar. File counts from discovery (paths-*.csv expansion)."
overview.live_traffic_bar,AGGREGATED *,rate_bps,realtime,Stacked horizontal bar showing network traffic distribution per tool. Visualizes which AI tools are consuming the most API bandwidth.,Per-tool outbound + inbound rate_bps from live correlator sessions. Tools without active sessions show zero width.
overview.cpu,AGGREGATED,percent,realtime,"Total CPU utilization across all monitored AI tool processes, expressed as a percentage where 100% = one full CPU core. A value of 400% means four cores are fully utilized by AI tools.",psutil.Process.cpu_percent() is called for each monitored process on every collection cycle (default 1.0s interval). Values are summed across all processes belonging to AI tools. Live correlator data is preferred; falls back to per-process discovery data if unavailable.
overview.files,AGGREGATED,count,on-discovery,"Total number of configuration, instruction, and context files discovered across all monitored AI tools on disk. Counts files matching known path patterns from paths-unix.csv (or paths-windows.csv on Windows).","File discovery expands path templates from paths-*.csv using tool-specific root strategies (home dir, XDG config, project root). Each expanded path is checked for existence via os.stat(). The count is sum(len(tool.files)) across all tools, excluding aictl's own files."
overview.mem_mb,AGGREGATED,bytes,realtime,"Total resident memory (RSS) consumed by all monitored AI tool processes, in megabytes. Shows physical RAM footprint of the AI tool ecosystem.",psutil.Process.memory_info().rss is read for each monitored process. Values are summed across all AI tool processes and converted to MB (bytes / 1048576).
overview.tokens,AGGREGATED,tokens,on-discovery,"Total estimated tokens across all discovered AI tool files. Represents the cumulative context footprint — how many tokens the LLM ecosystem consumes on disk for instructions, memory, rules, and configuration.","Each file's token count is estimated as ceil(utf8_byte_length / 4), approximating BPE tokenization. Summed across all files for all tools. Formula: sum(ceil(len(content.encode('utf-8')) / 4)) for each file."
files.category.count,AGGREGATED,count,on-discovery,"Number of files in a specific category (instructions, config, rules, memory, state, etc.) for a tool.",Files grouped by category field from paths-*.csv. Count per category per tool.
files.category.tokens,AGGREGATED,tokens,on-discovery,Total tokens for all files in a category for a tool.,Sum of per-file token estimates within the category.
files.item.activity,DEDUCED *,count,on-collect,"File activity indicator — green pulse (actively changing), orange (recently modified), grey (inactive).","Based on file mtime: green if changed since last collection cycle, orange if mtime within 300s, grey otherwise. Pulsing animation for live-active files."
files.item.lines,DEDUCED,count,on-collect,Estimated line count for a file.,"Estimated from file size when content is not loaded, otherwise content.count('\\n') + 1."
files.item.sent_to_llm,RAW,count,static,"Whether this file is sent to the LLM and under what conditions. Diamond = always, diamond-outline = on-demand, circle = conditional/no.","sent_to_llm field from paths-*.csv for this file's path pattern. Values: ""yes"", ""on-demand"", ""conditional"", ""partial"", ""no""."
files.item.size,RAW,bytes,on-collect,File size in bytes from the filesystem.,os.stat(path).st_size.
files.item.tokens,DEDUCED,tokens,on-collect,Estimated token count for a single file.,ceil(len(content.encode('utf-8')) / 4).
procs.tool.anomaly,DEDUCED *,count,realtime,"Process anomaly detection — unusual resource consumption, unexpected state, or known problematic patterns.","Anomaly rules applied per process: memory exceeding known thresholds (memory_active_mb from CSV), CPU spikes, known leak patterns (known_leak + leak_pattern from CSV), orphan detection."
procs.tool.cpu_pct,RAW,percent,realtime,"CPU utilization for a single process, as percentage of one core. Color-coded: orange >5%, red if anomaly detected.",psutil.Process.cpu_percent(None) / 100 for the specific PID. Updated on each collection cycle.
procs.tool.mem_rss,RAW,bytes,realtime,Resident memory (RSS) for a single process. Shown as a visual bar relative to the maximum memory across all processes in the group.,psutil.Process.memory_info().rss in bytes. Visual bar width = this_process_mem / max_process_mem_in_group.
procs.tool.process_type,RAW,count,realtime,"Classification of each process — app, helper, mcp-server, cli, subagent, language-server, daemon, etc.","Direct read from processes-*.csv process_type column, matched to the running process via ps_grep_pattern regex."
procs.tool.zombie_risk,RAW,count,static,"Risk level that this process may become a zombie (orphaned, not properly cleaned up). Based on known patterns from processes-*.csv.","Static classification from processes-*.csv zombie_risk column (none, low, medium, high). Based on historical analysis of each process type's lifecycle behavior."
procs.tool.files,RAW,count,on-discovery,"Number of on-disk files belonging to this specific AI tool, matching path patterns from paths-*.csv.",len(tool.files) after discovery expansion. Each file was verified to exist on disk via os.stat().
procs.tool.process_count,RAW,count,realtime,Number of running OS processes attributed to this tool.,Process matching via ps_grep_pattern regex from processes-*.csv against psutil.process_iter() results. Includes parent and child processes within the process tree.
procs.tool.tokens,AGGREGATED,tokens,on-discovery,Total estimated tokens across all files belonging to this tool.,Sum of ceil(utf8_bytes / 4) for each file in tool.files.
procs.tool.config.auto_update,RAW,count,on-collect,Whether automatic updates are enabled for the tool.,Claude Code: ~/.claude.json autoUpdates field. Other tools: from respective settings files per tool-configs.yaml.
procs.tool.config.extensions,RAW,count,on-collect,IDE extensions installed for this tool (e.g. VS Code extensions related to the AI tool).,Enumeration of ~/.vscode/extensions directories matching known patterns for the tool. Also from VS Code extensions list.
procs.tool.config.features,RAW,count,on-collect,Feature flags and settings extracted from the tool's configuration. Shows which capabilities are enabled/disabled.,Parsed from tool config files per tool-configs.yaml feature extraction rules. Boolean and string values presented as badges.
procs.tool.config.hints,DEDUCED,count,on-collect,"Actionable suggestions generated from analyzing the tool's current configuration. Warnings about suboptimal settings, missing features, or security concerns.","Generated by _generate_hints() in tool_config.py based on OTel config state, feature flags, and tool settings analysis."
procs.tool.config.launch_at_startup,RAW,count,on-collect,"Whether the tool is configured to launch automatically at system startup (login items on macOS, autostart on Linux).",macOS: detected via osascript querying login items or launchd plist. Linux: checks XDG autostart directory. Windows: checks startup folder.
procs.tool.config.mcp_servers,RAW,count,on-collect,MCP servers configured in this tool's settings. Lists server names as pills.,"Parsed from tool MCP config (e.g. Claude Code's ~/.claude/settings.json mcpServers, or project .mcp.json files)."
procs.tool.config.model,RAW,count,on-collect,"The AI model currently configured for this tool (e.g. claude-sonnet-4-5-20250514, gpt-4o). Extracted from the tool's settings file.",Parsed from tool config files defined in tool-configs.yaml. For Claude Code: settings.json → selectedModel. For Cursor: state.vscdb SQLite. For Copilot: settings.json model preferences.
procs.tool.config.otel,RAW,count,on-collect,"Whether OpenTelemetry export is enabled for this tool, and the configured exporter type and endpoint.","Parsed from tool config files. Looks for OTel-related settings (exporter, endpoint, protocol) in the tool's configuration."
procs.tool.config.otel_capture_content,RAW,count,on-collect,Whether OpenTelemetry is configured to capture message content (prompts and responses). Warning shown if enabled due to privacy.,From tool OTel config: captureContent or capture_content field in VS Code settings or tool-specific config files.
procs.tool.live.cpu,AGGREGATED *,percent,realtime,Current CPU utilization and peak CPU seen during this tool's active sessions.,Sum of cpu_percent across sessions (current). Max of peak_cpu_percent across sessions (peak). From SessionCorrelator aggregation.
procs.tool.live.files_touched,AGGREGATED *,count,realtime,Number of unique files touched (created/modified/deleted) during this tool's active sessions.,Set union of files_touched across all sessions for this tool. File events detected by filesystem watching or state dir scanning.
procs.tool.live.mcp_detected,DEDUCED *,count,realtime,"Whether MCP (Model Context Protocol) loop activity is detected for this tool, and estimated number of tool-use loops.","Heuristic MCP loop detection analyzing 24-sample windows: - Network bursts >32KB → min(0.45, count * 0.15) - CPU spikes >20% → min(0.30, count * 0.10) - Subprocess invocations (git, rg, bash) → min(0.35, count * 0.08) - Correlation bonus +0.15 if CPU AND network active Detected if combined score >= 0.45. Loop count estimate = max(0, network_peaks // 2)."
procs.tool.live.pid_count,AGGREGATED *,count,realtime,Number of OS process IDs attributed to this tool's active sessions.,Union of all pids across SessionState objects for this tool.
procs.tool.live.session_count,AGGREGATED *,count,realtime,Number of active sessions for this specific tool.,Count of SessionState objects for this tool where last_seen is within 180s. From SessionCorrelator tool aggregation.
procs.tool.live.tokens,DEDUCED *,tokens,realtime,"Estimated tokens for this tool's active sessions, with confidence level indicating estimation method used.",Tiered estimation: exact telemetry (0.95) > session file inference (0.60) > network inference (0.40). Source and confidence displayed alongside the value.
procs.tool.live.traffic,DEDUCED *,rate_bps,realtime,Network traffic rates (upload/download) for this tool's active sessions.,Computed from per-session recent_network deque (last 24 samples at 1s intervals). Rate = delta_bytes / delta_time. Summed across sessions.
procs.tool.live.workspaces,RAW *,count,realtime,Working directories (project roots) associated with this tool's active sessions.,"Set union of session.workspaces, derived from the cwd of root processes. Resolved to git repository roots when possible."
procs.tool.telemetry.active_session_input,AGGREGATED *,tokens,on-collect,Input tokens consumed in the currently active session (not lifetime). Shows real-time token usage of the ongoing conversation.,Claude Code: sum of usage.input_tokens from recent JSONL lines (last 500 lines of active session file). Copilot: from latest session state.
procs.tool.telemetry.active_session_messages,AGGREGATED *,count,on-collect,Number of messages (turns) in the currently active session.,Count of assistant messages with usage data in the active session JSONL file.
procs.tool.telemetry.active_session_output,AGGREGATED *,tokens,on-collect,Output tokens generated in the currently active session (not lifetime).,Same as active_session_input but reading usage.output_tokens from recent JSONL lines of the active session.
procs.tool.telemetry.api_duration_ms,AGGREGATED *,seconds,on-collect,Total API duration in milliseconds across all sessions. Used to detect timeout patterns (avg > 30s flags potential issue).,"Accumulated from session.shutdown events in Copilot CLI events.jsonl. Field: totalApiDurationMs. If avg per request > 30000ms, flagged as timeout error."
procs.tool.telemetry.by_model,RAW *,tokens,on-collect,Token usage and cost broken down by AI model. Shows which models are consuming resources (e.g. claude-sonnet-4-5-20250514 vs claude-haiku).,"From tool stats: costTracker.byModel (Claude Code) with per-model inputTokens, outputTokens, costUSD. Copilot: per-model breakdown in modelMetrics. Stored as JSON dict {model: {input, output, cost}}."
procs.tool.telemetry.cache_read,RAW *,tokens,on-collect,Lifetime cache-read tokens — tokens retrieved from prompt cache instead of re-processing. Reduces cost and latency.,"From tool stats: costTracker.totalCacheReadTokens (Claude Code), modelMetrics.*.usage.cacheReadTokens (Copilot), etc."
procs.tool.telemetry.cache_write,RAW *,tokens,on-collect,Lifetime cache-creation tokens — tokens written to prompt cache for future reuse. Initial investment for cache read savings.,"From tool stats: costTracker.totalCacheCreationTokens (Claude Code), cacheWriteTokens (Copilot), cached_input_tokens (Codex), etc."
procs.tool.telemetry.code_changes,RAW *,count,on-collect,"Code changes made during tool sessions — lines added, lines removed, files modified. Shows the tool's impact on the codebase.","From Copilot CLI session.shutdown event's codeChanges object: linesAdded (int), linesRemoved (int), filesModified (array length)."
